TIME,VALUE,POSITION
15:55:53,123,D100
15:55:54,123,D100
15:55:54,123,D100
15:55:55,123,D100
15:55:55,123,D100
15:55:56,123,D100
15:55:57,123,D100
15:55:57,123,D100
15:55:58,123,D100
15:55:58,123,D100
15:55:59,123,D100
15:56:00,45,D100
15:56:00,45,D100
15:56:01,456,D100
15:56:01,456,D100
15:56:02,456,D100
15:56:02,456,D100
15:56:03,456,D100
15:56:04,456,D100
15:56:04,456,D100
15:56:05,456,D100
15:56:05,456,D100
15:56:06,1,D100
15:56:06,1,D100
15:56:07,1,D100
15:56:07,1,D100
15:56:08,2,D100
15:56:08,2,D100
15:56:09,2,D100
15:56:09,2,D100
15:56:10,2,D100
15:56:10,3,D100
15:56:11,3,D100
15:56:12,3,D100
15:56:12,3,D100
15:56:13,3,D100
15:56:13,3,D100
15:56:14,4,D100
15:56:14,4,D100
15:56:15,4,D100
15:56:15,4,D100
15:56:16,5,D100
15:56:16,5,D100
15:56:17,5,D100
