TIME,VALUE,POSITION
22:16:08:060,21058,Vi tri so 1
22:16:08:182,22340,Vi tri so 1
22:16:08:284,6981,Vi tri so 1
22:16:08:434,9799,Vi tri so 1
22:16:08:547,27976,Vi tri so 1
22:16:08:681,13641,Vi tri so 1
22:16:08:798,18507,Vi tri so 1
22:16:08:953,4940,Vi tri so 1
22:16:09:082,11342,Vi tri so 1
22:16:09:221,31311,Vi tri so 1
22:16:09:391,6481,Vi tri so 1
22:16:09:530,15443,Vi tri so 1
22:16:09:666,3924,Vi tri so 1
22:16:09:771,14422,Vi tri so 1
22:16:09:898,3671,Vi tri so 1
22:16:10:020,25944,Vi tri so 1
22:16:10:133,5722,Vi tri so 1
22:16:10:250,28763,Vi tri so 1
22:16:10:368,19292,Vi tri so 1
22:16:10:494,1118,Vi tri so 1
22:16:10:596,25183,Vi tri so 1
22:16:10:712,16736,Vi tri so 1
